label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
near_shape	PATH_15_561998	shape	{247.3640 854.4520} {251.6760 854.5080}					unrestricted	M3	ZBUF_20_2520	detail_route		target_cell=U77942
near_shape	PATH_13_614668	shape	{251.1640 856.4280} {251.2200 864.2360}					unrestricted	M2	n131474	detail_route		target_cell=U77942
near_shape	PATH_15_619289	shape	{250.7080 855.3640} {254.4120 855.4200}					unrestricted	M3	ZBUF_197_3009	detail_route		target_cell=U77942
near_shape	PATH_13_626189	shape	{249.0360 856.8840} {249.0920 861.5000}					unrestricted	M2	n132866	detail_route		target_cell=U77942
near_shape	PATH_15_627419	shape	{251.4680 856.2760} {252.5880 856.3320}					unrestricted	M3	ZBUF_1451_3065	detail_route		target_cell=U77942
near_shape	PATH_15_627426	shape	{252.5320 856.2760} {253.8040 856.3320}					unrestricted	M3	ZBUF_1451_3065	detail_route		target_cell=U77942
near_shape	PATH_15_628807	shape	{247.8200 853.8440} {251.8280 853.9000}					unrestricted	M3	ZBUF_39_3123	detail_route		target_cell=U77942
near_shape	PATH_13_640463	shape	{249.3400 852.0200} {249.3960 855.4200}					unrestricted	M2	n134012	detail_route		target_cell=U77942
near_shape	PATH_13_653815	shape	{250.4040 852.0200} {250.4600 858.1560}					unrestricted	M2	n134013	detail_route		target_cell=U77942
near_shape	PATH_15_679384	shape	{252.2280 853.8440} {253.8040 853.9000}					unrestricted	M3	ZBUF_164_3428	detail_route		target_cell=U77942
near_shape	PATH_13_878806	shape	{249.1880 856.5800} {249.2440 859.9800}					unrestricted	M2	ZBUF_146_77	detail_route		target_cell=U77942
near_shape	PATH_13_881913	shape	{251.9240 848.3720} {251.9800 855.1160}					unrestricted	M2	ZBUF_609_91	detail_route		target_cell=U77942
near_shape	PATH_13_882607	shape	{249.4920 856.2760} {249.5480 858.4600}					unrestricted	M2	ZBUF_588_92	detail_route		target_cell=U77942
near_shape	PATH_13_886377	shape	{250.5560 844.7240} {250.6120 872.7480}					unrestricted	M2	ZBUF_89_102	detail_route		target_cell=U77942
near_shape	PATH_13_918774	shape	{251.9240 855.2120} {251.9800 858.9160}					unrestricted	M2	ZBUF_2_973	detail_route		target_cell=U77942
near_shape	PATH_13_943756	shape	{250.1000 852.9320} {250.1560 855.8760}					unrestricted	M2	ZBUF_228_1096	detail_route		target_cell=U77942
near_shape	PATH_13_1007708	shape	{250.8600 840.4680} {250.9160 893.2680}					unrestricted	M2	ZBUF_187_2018	detail_route		target_cell=U77942
near_shape	PATH_13_1144392	shape	{251.3160 856.5800} {251.3720 859.9800}					unrestricted	M2	ZBUF_1451_3065	detail_route		target_cell=U77942
near_shape	PATH_13_1144411	shape	{252.5320 856.2760} {252.5880 860.2840}					unrestricted	M2	ZBUF_1451_3065	detail_route		target_cell=U77942
near_shape	PATH_13_1148787	shape	{248.7320 855.3640} {248.7880 865.4520}					unrestricted	M2	ZBUF_58_3072	detail_route		target_cell=U77942
near_shape	PATH_13_1148788	shape	{248.7320 855.3640} {249.2440 855.4200}					unrestricted	M2	ZBUF_58_3072	detail_route		target_cell=U77942
near_shape	PATH_13_1148789	shape	{249.1880 849.8920} {249.2440 855.4200}					unrestricted	M2	ZBUF_58_3072	detail_route		target_cell=U77942
near_shape	PATH_13_1172069	shape	{250.2520 855.9720} {250.3080 859.9800}					unrestricted	M2	ZBUF_51_3163	detail_route		target_cell=U77942
near_shape	PATH_13_1172071	shape	{249.9480 851.5640} {250.0040 856.0280}					unrestricted	M2	ZBUF_51_3163	detail_route		target_cell=U77942
near_shape	PATH_13_1188063	shape	{251.4680 856.8840} {251.5240 857.5480}					unrestricted	M2	ZBUF_852_3231	detail_route		target_cell=U77942
near_shape	PATH_13_1217707	shape	{251.0120 852.0200} {251.0680 866.9720}					unrestricted	M2	ZBUF_607_3372	detail_route		target_cell=U77942
near_shape	PATH_13_1228284	shape	{252.2280 855.0600} {252.2840 860.8920}					unrestricted	M2	ZBUF_34_3427	detail_route		target_cell=U77942
near_shape	PATH_13_1228286	shape	{252.3800 852.9320} {252.4360 855.1160}					unrestricted	M2	ZBUF_34_3427	detail_route		target_cell=U77942
near_shape	PATH_13_1228795	shape	{251.1640 852.6280} {251.2200 853.5960}					unrestricted	M2	ZBUF_199_3428	detail_route		target_cell=U77942
near_via	VIA_S_990307	via	{249.0090 856.8570} {249.1190 856.9670}			249.0640 856.9120	R0	unrestricted		n132866	detail_route	VIA23SQ_C	target_cell=U77942
near_via	VIA_S_990313	via	{249.0090 856.8570} {249.1190 856.9670}			249.0640 856.9120	R90	unrestricted		n132866	detail_route	VIA12SQ_C	target_cell=U77942
near_via	VIA_S_1559591	via	{249.1610 856.8570} {249.2710 856.9670}			249.2160 856.9120	R0	unrestricted		ZBUF_168_1069	detail_route	VIA34SQ_C	target_cell=U77942
near_via	VIA_S_1950267	via	{252.5050 856.2490} {252.6150 856.3590}			252.5600 856.3040	R90	unrestricted		ZBUF_1451_3065	detail_route	VIA23SQ_C	target_cell=U77942
near_via	VIA_S_2025736	via	{251.4410 856.8570} {251.5510 856.9670}			251.4960 856.9120	R90	unrestricted		ZBUF_852_3231	detail_route	VIA12SQ_C	target_cell=U77942
net	n143522	net	{145.8010 737.6890} {250.6400 955.4650}					unrestricted					
net_pin	U124756/Y	pin	{149.3270 829.3550} {150.7750 830.8040}					placed	M1 CO	n143522			net=n143522
net_pin	U77942/A3	pin	{250.4830 855.1700} {250.6400 855.4670}					placed	M1 CO	n143522			net=n143522
net_pin	U77942/A1	pin	{249.9210 855.0290} {250.0930 855.1450}					placed	M1 CO	n143522			net=n143522
net_pin	U85050/A4	pin	{148.5370 738.0110} {148.6930 738.2740}					placed	M1 CO	n143522			net=n143522
net_pin	U74996/A1	pin	{149.1450 955.3490} {149.3170 955.4650}					placed	M1 CO	n143522			net=n143522
