x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
65.0	PATH_11_507	VSS	867.704	{64.75 867.454} {65.25 867.954}	signal	shape	PATH_15_359418	M3	n138894	{62.2280 867.5240} {67.4520 867.5800}
65.0	PATH_11_507	VSS	867.704	{64.75 867.454} {65.25 867.954}	signal	shape	PATH_13_452203	M2	n76312	{65.1160 864.9400} {65.1720 872.4440}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	signal	shape	PATH_21_21012	M6	ZBUF_409_2924	{69.8280 854.7560} {69.8840 888.8600}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	signal	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	signal	shape	PATH_17_146723	M4	ZBUF_81_1605	{70.1320 844.7240} {70.1880 874.5720}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	signal	shape	PATH_15_201875	M3	n76157	{68.3080 867.5240} {72.6200 867.5800}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	signal	shape	PATH_13_451786	M2	n76180	{69.8280 867.2200} {69.8840 867.8840}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	signal	via	VIA_S_1207658	VIA23SQ_C	n140006	{69.6490 867.8010} {69.7590 867.9110}
75.0	PATH_11_507	VSS	867.704	{74.75 867.454} {75.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
75.0	PATH_11_507	VSS	867.704	{74.75 867.454} {75.25 867.954}	signal	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
75.0	PATH_11_507	VSS	867.704	{74.75 867.454} {75.25 867.954}	signal	shape	PATH_15_201898	M3	n76181	{73.3240 867.8280} {75.3560 867.8840}
75.0	PATH_11_507	VSS	867.704	{74.75 867.454} {75.25 867.954}	signal	shape	PATH_15_461672	M3	ZBUF_1720_92	{74.2360 867.5240} {77.7880 867.5800}
75.0	PATH_11_507	VSS	867.704	{74.75 867.454} {75.25 867.954}	signal	via	VIA_S_1209075	VIA12SQ_C	n140035	{74.6650 867.4970} {74.7750 867.6070}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	pg	shape	PATH_13_23	M2	VDD	{79.8000 13.0000} {80.2000 1195.7280}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	signal	shape	PATH_17_15951	M4	n59514	{80.1640 848.9800} {80.2200 868.1880}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	signal	shape	PATH_17_20760	M4	n76151	{79.8600 863.8760} {79.9160 868.1880}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	signal	shape	PATH_21_23477	M6	ZBUF_115_3369	{80.1640 865.0920} {80.2200 869.4040}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	signal	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	signal	shape	PATH_15_163869	M3	n49204	{78.6440 867.8280} {86.3000 867.8840}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	signal	shape	PATH_15_461673	M3	ZBUF_1720_92	{77.7320 867.5240} {86.9080 867.5800}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_17_6707	M4	n24215	{84.7240 851.1080} {84.7800 869.4040}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_21_15534	M6	ZBUF_682_1631	{85.0280 862.0520} {85.0840 878.5240}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_15_163869	M3	n49204	{78.6440 867.8280} {86.3000 867.8840}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_13_379958	M2	n52693	{84.8760 867.2200} {84.9320 873.9640}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_15_461673	M3	ZBUF_1720_92	{77.7320 867.5240} {86.9080 867.5800}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_13_751304	M2	n139956	{85.1800 864.1800} {85.2360 881.5640}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_13_1008244	M2	ZBUF_58_2025	{85.0280 866.9160} {85.0840 880.0440}
85.0	PATH_11_507	VSS	867.704	{84.75 867.454} {85.25 867.954}	signal	shape	PATH_13_1080429	M2	ZBUF_926_2762	{84.7240 863.2680} {84.7800 870.0120}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_17_13852	M4	n52498	{89.8920 866.6120} {89.9480 873.6600}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_21_17553	M6	ZBUF_154_2047	{89.8920 792.7400} {89.9480 883.9960}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_17_155206	M4	ZBUF_1812_2034	{90.1960 865.0920} {90.2520 889.7720}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_15_360139	M3	n138980	{87.4600 867.8280} {91.9240 867.8840}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_13_379113	M2	n52443	{89.8920 866.9160} {89.9480 871.8360}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_13_379405	M2	n52517	{90.0440 865.3960} {90.1000 868.4920}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_13_736554	M2	n138896	{89.7400 866.7640} {89.7960 878.2200}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	signal	shape	PATH_13_1038207	M2	ZBUF_455_2509	{90.1960 863.4200} {90.2520 868.3400}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
