x	shape	net	y	bbox	object_type	object_name	object_layer	object_net	object_bbox
50.0	PATH_11_555	VSS	947.96	{49.75 947.71} {50.25 948.21}	shape	PATH_15_177688	M3	n59237	{41.1000 947.7800} {52.1000 947.8360}
50.0	PATH_11_555	VSS	947.96	{49.75 947.71} {50.25 948.21}	shape	PATH_15_546246	M3	ZBUF_876_2041	{49.4600 948.0840} {51.7960 948.1400}
50.0	PATH_11_555	VSS	947.96	{49.75 947.71} {50.25 948.21}	shape	PATH_13_736347	M2	n138889	{50.0680 947.1720} {50.1240 949.0520}
50.0	PATH_11_555	VSS	947.96	{49.75 947.71} {50.25 948.21}	shape	PATH_13_1016189	M2	ZBUF_402_2041	{49.7640 945.6520} {49.8200 953.0040}
60.0	PATH_11_483	VSS	827.576	{59.75 827.326} {60.25 827.826}	shape	PATH_15_537174	M3	ZBUF_2020_2000	{55.8440 827.3960} {65.6280 827.4520}
70.0	PATH_11_483	VSS	827.576	{69.75 827.326} {70.25 827.826}	shape	PATH_21_1993	M6	n76291	{69.8280 778.7560} {69.8840 848.7320}
70.0	PATH_11_483	VSS	827.576	{69.75 827.326} {70.25 827.826}	shape	PATH_19_25712	M5	n138997	{61.3160 827.3960} {70.1880 827.4520}
70.0	PATH_11_483	VSS	827.576	{69.75 827.326} {70.25 827.826}	shape	PATH_17_59638	M4	n138997	{70.1320 827.3960} {70.1880 828.6680}
70.0	PATH_11_483	VSS	827.576	{69.75 827.326} {70.25 827.826}	shape	PATH_15_461304	M3	ZBUF_28_91	{65.2680 827.7000} {71.1000 827.7560}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	shape	PATH_21_21012	M6	ZBUF_409_2924	{69.8280 854.7560} {69.8840 888.8600}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	shape	PATH_17_146723	M4	ZBUF_81_1605	{70.1320 844.7240} {70.1880 874.5720}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	shape	PATH_15_201875	M3	n76157	{68.3080 867.5240} {72.6200 867.5800}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	shape	PATH_13_451786	M2	n76180	{69.8280 867.2200} {69.8840 867.8840}
70.0	PATH_11_507	VSS	867.704	{69.75 867.454} {70.25 867.954}	via	VIA_S_1207658	VIA23SQ_C	n140006	{69.6490 867.8010} {69.7590 867.9110}
70.0	PATH_11_531	VSS	907.832	{69.75 907.582} {70.25 908.082}	shape	PATH_19_2257	M5	n25272	{65.8760 907.6520} {75.9640 907.7080}
70.0	PATH_11_531	VSS	907.832	{69.75 907.582} {70.25 908.082}	shape	PATH_17_15981	M4	n59567	{70.1320 883.0280} {70.1880 923.2120}
70.0	PATH_11_531	VSS	907.832	{69.75 907.582} {70.25 908.082}	shape	PATH_17_61172	M4	n139338	{69.8280 903.7000} {69.8840 909.2280}
70.0	PATH_11_531	VSS	907.832	{69.75 907.582} {70.25 908.082}	shape	PATH_13_292073	M2	n24139	{69.8280 906.8920} {69.8840 908.9240}
70.0	PATH_11_531	VSS	907.832	{69.75 907.582} {70.25 908.082}	shape	PATH_15_359442	M3	n138895	{62.2280 907.6520} {76.2680 907.7080}
70.0	PATH_11_531	VSS	907.832	{69.75 907.582} {70.25 908.082}	shape	PATH_15_369293	M3	n140007	{69.5240 907.9560} {72.3160 908.0120}
70.0	PATH_11_531	VSS	907.832	{69.75 907.582} {70.25 908.082}	shape	PATH_13_720782	M2	n137983	{69.9800 902.7880} {70.0360 916.8280}
