x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
23.0	PATH_11_483	VSS	827.576	{22.75 827.326} {23.25 827.826}	signal	via	VIA_S_1182105	VIA12SQ_C	n139080	{22.6810 827.3690} {22.7910 827.4790}
23.0	PATH_11_507	VSS	867.704	{22.75 867.454} {23.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
23.0	PATH_11_507	VSS	867.704	{22.75 867.454} {23.25 867.954}	signal	shape	PATH_21_12683	M6	ZBUF_2_935	{23.0120 617.0280} {23.0680 938.1080}
23.0	PATH_11_507	VSS	867.704	{22.75 867.454} {23.25 867.954}	signal	shape	PATH_17_20978	M4	n76703	{22.7080 863.8760} {22.7640 874.8760}
23.0	PATH_11_507	VSS	867.704	{22.75 867.454} {23.25 867.954}	signal	shape	PATH_17_21035	M4	n76831	{23.0120 860.2280} {23.0680 867.8840}
23.0	PATH_11_507	VSS	867.704	{22.75 867.454} {23.25 867.954}	signal	shape	PATH_15_202996	M3	n76831	{20.7320 867.8280} {23.0680 867.8840}
23.0	PATH_11_507	VSS	867.704	{22.75 867.454} {23.25 867.954}	signal	shape	PATH_13_453532	M2	n76709	{23.0120 865.3960} {23.0680 868.7960}
23.0	PATH_11_507	VSS	867.704	{22.75 867.454} {23.25 867.954}	signal	shape	PATH_15_599543	M3	ZBUF_61_2921	{22.5560 867.5240} {23.3720 867.5800}
23.0	PATH_11_507	VSS	867.704	{22.75 867.454} {23.25 867.954}	signal	shape	PATH_13_1051886	M2	ZBUF_256_2545	{23.1640 866.3080} {23.2200 868.7960}
23.0	PATH_11_531	VSS	907.832	{22.75 907.582} {23.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
23.0	PATH_11_531	VSS	907.832	{22.75 907.582} {23.25 908.082}	signal	shape	PATH_21_12683	M6	ZBUF_2_935	{23.0120 617.0280} {23.0680 938.1080}
23.0	PATH_11_531	VSS	907.832	{22.75 907.582} {23.25 908.082}	signal	shape	PATH_19_26452	M5	n139352	{21.1880 907.6520} {22.7640 907.7080}
23.0	PATH_11_531	VSS	907.832	{22.75 907.582} {23.25 908.082}	signal	shape	PATH_19_26453	M5	n139352	{22.7080 907.6520} {35.2280 907.7080}
23.0	PATH_11_531	VSS	907.832	{22.75 907.582} {23.25 908.082}	signal	shape	PATH_17_61212	M4	n139352	{22.7080 898.8360} {22.7640 907.7080}
23.0	PATH_11_531	VSS	907.832	{22.75 907.582} {23.25 908.082}	signal	shape	PATH_15_522071	M3	ZBUF_972_1633	{22.2520 907.6520} {23.6760 907.7080}
23.0	PATH_11_531	VSS	907.832	{22.75 907.582} {23.25 908.082}	signal	shape	PATH_13_970866	M2	ZBUF_860_1605	{22.8600 901.8760} {22.9160 911.6600}
23.0	PATH_11_531	VSS	907.832	{22.75 907.582} {23.25 908.082}	signal	via	VIA_S_1191928	VIA45SQ_C	n139352	{22.6810 907.6250} {22.7910 907.7350}
23.0	PATH_11_555	VSS	947.96	{22.75 947.71} {23.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
23.0	PATH_11_579	VSS	988.088	{22.75 987.838} {23.25 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
23.0	PATH_11_603	VSS	1028.216	{22.75 1027.966} {23.25 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
23.0	PATH_11_627	VSS	1068.344	{22.75 1068.094} {23.25 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
23.5	PATH_11_483	VSS	827.576	{23.25 827.326} {23.75 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
23.5	PATH_11_483	VSS	827.576	{23.25 827.326} {23.75 827.826}	signal	shape	PATH_13_368406	M2	n48820	{23.4680 825.1160} {23.5240 829.5800}
23.5	PATH_11_483	VSS	827.576	{23.25 827.326} {23.75 827.826}	signal	shape	PATH_13_720647	M2	n137969	{23.6200 826.0280} {23.6760 831.7080}
23.5	PATH_11_483	VSS	827.576	{23.25 827.326} {23.75 827.826}	signal	shape	PATH_13_972548	M2	ZBUF_654_1608	{23.3160 825.2680} {23.3720 828.9720}
23.5	PATH_11_507	VSS	867.704	{23.25 867.454} {23.75 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
23.5	PATH_11_507	VSS	867.704	{23.25 867.454} {23.75 867.954}	signal	shape	PATH_21_20926	M6	ZBUF_61_2921	{23.6200 859.0120} {23.6760 867.5800}
23.5	PATH_11_507	VSS	867.704	{23.25 867.454} {23.75 867.954}	signal	shape	PATH_17_160574	M4	ZBUF_1133_2528	{23.6200 866.9160} {23.6760 875.1800}
23.5	PATH_11_507	VSS	867.704	{23.25 867.454} {23.75 867.954}	signal	shape	PATH_13_453572	M2	n76718	{23.4680 858.4040} {23.5240 871.3800}
23.5	PATH_11_507	VSS	867.704	{23.25 867.454} {23.75 867.954}	signal	shape	PATH_15_599543	M3	ZBUF_61_2921	{22.5560 867.5240} {23.3720 867.5800}
23.5	PATH_11_531	VSS	907.832	{23.25 907.582} {23.75 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
23.5	PATH_11_531	VSS	907.832	{23.25 907.582} {23.75 908.082}	signal	shape	PATH_17_15935	M4	n59482	{23.6200 898.8360} {23.6760 924.7320}
23.5	PATH_11_531	VSS	907.832	{23.25 907.582} {23.75 908.082}	signal	shape	PATH_19_26453	M5	n139352	{22.7080 907.6520} {35.2280 907.7080}
23.5	PATH_11_531	VSS	907.832	{23.25 907.582} {23.75 908.082}	signal	shape	PATH_15_522071	M3	ZBUF_972_1633	{22.2520 907.6520} {23.6760 907.7080}
23.5	PATH_11_531	VSS	907.832	{23.25 907.582} {23.75 908.082}	signal	shape	PATH_13_721576	M2	n138027	{23.3160 902.4840} {23.3720 911.3560}
23.5	PATH_11_531	VSS	907.832	{23.25 907.582} {23.75 908.082}	signal	shape	PATH_13_978041	M2	ZBUF_972_1633	{23.6200 906.8920} {23.6760 907.7080}
23.5	PATH_11_531	VSS	907.832	{23.25 907.582} {23.75 908.082}	signal	shape	PATH_13_978045	M2	ZBUF_972_1633	{23.6200 907.6520} {23.8280 907.7080}
23.5	PATH_11_555	VSS	947.96	{23.25 947.71} {23.75 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
23.5	PATH_11_555	VSS	947.96	{23.25 947.71} {23.75 948.21}	signal	shape	PATH_17_153226	M4	ZBUF_1287_2000	{23.6200 925.2840} {23.6760 949.3560}
23.5	PATH_11_555	VSS	947.96	{23.25 947.71} {23.75 948.21}	signal	via	VIA_S_1215579	VIA12SQ_C	n140370	{23.7450 947.7530} {23.8550 947.8630}
23.5	PATH_11_555	VSS	947.96	{23.25 947.71} {23.75 948.21}	signal	via	VIA_S_1215580	VIA23SQ_C	n140370	{23.7450 947.7530} {23.8550 947.8630}
23.5	PATH_11_579	VSS	988.088	{23.25 987.838} {23.75 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
23.5	PATH_11_603	VSS	1028.216	{23.25 1027.966} {23.75 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
23.5	PATH_11_627	VSS	1068.344	{23.25 1068.094} {23.75 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
24.0	PATH_11_483	VSS	827.576	{23.75 827.326} {24.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
24.0	PATH_11_507	VSS	867.704	{23.75 867.454} {24.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
24.0	PATH_11_507	VSS	867.704	{23.75 867.454} {24.25 867.954}	signal	shape	PATH_17_61391	M4	n139391	{23.9240 861.1400} {23.9800 882.1720}
