id	type_name	layers	bbox	objects	actual_spacing	required_spacing	required_width	brief_info	verbose_info	status
485	Off-grid	M2	{87.4560 836.8690} {87.5160 837.1310}	n31794						error
486	Off-grid	VIA1	{87.4610 836.8990} {87.5110 837.1010}	n31794						error
487	Diff net spacing	M1	{89.3840 848.1430} {89.5440 848.2260}	ZBUF_2517_97						error
488	Diff net spacing	M1	{149.4240 844.7990} {149.5840 844.8820}	n138379						error
489	Needs fat contact	M1,M2	{236.8740 843.4810} {236.9340 843.5910}	n69717						error
490	Needs fat contact	M1,M2	{322.6020 841.6570} {322.6620 841.7670}	n54894						error
491	Off-grid	M1	{774.4730 838.3380} {774.5830 838.3980}	n30129						error
492	Diff net spacing	M1	{45.3040 858.1750} {45.4640 858.2580}	n24865						error
493	Diff net spacing	M1	{38.9200 850.3980} {39.0800 850.4810}	n75681						error
494	Needs fat contact	M1,M2	{144.4580 856.8570} {144.5180 856.9670}	n136861						error
495	Needs fat contact	M1,M2	{152.3620 858.3770} {152.4220 858.4870}	ZBUF_2_95						error
496	Diff net spacing	M1	{209.3120 858.1750} {209.4720 858.2580}	ZBUF_13349_96						error
497	Diff net spacing	M1	{206.4240 857.0860} {206.5840 857.1690}	ZBUF_141_100						error
498	Needs fat contact	M1,M2	{229.2740 858.3770} {229.3340 858.4870}	n136867						error
499	Diff net spacing	M1	{263.7280 850.3980} {263.8880 850.4810}	n69772						error
500	Needs fat contact	M1,M2	{285.3620 860.2010} {285.4220 860.3110}	n68164						error
501	Diff net spacing	M1	{307.6560 853.7420} {307.8160 853.8250}	n132684						error
502	Needs fat contact	M1,M2	{320.6260 860.2010} {320.6860 860.3110}	n54884						error
503	Diff net spacing	M1	{58.3760 867.1180} {58.5360 867.2010}	n24764						error
504	Diff net spacing	M1	{81.6320 864.8630} {81.7920 864.9460}	n74457						error
505	Diff net spacing	M1	{74.3360 863.7740} {74.4960 863.8570}	n74478						error
506	Diff net spacing	M1	{99.2640 870.4620} {99.4240 870.5450}	ZBUF_376_2371						error
507	Needs fat contact	M1,M2	{165.2820 863.5450} {165.3420 863.6550}	n138374						error
508	Diff net spacing	M1	{187.8800 871.5510} {188.0400 871.6340}	ZBUF_53_2991						error
509	Diff net spacing	M1	{201.1040 868.2070} {201.2640 868.2900}	HFSNET_1146						error
510	Diff net spacing	M1	{212.8080 861.5190} {212.9680 861.6020}	n132834						error
511	Needs fat contact	M1,M2	{257.5460 871.7530} {257.6060 871.8630}	n142789						error
512	Needs fat contact	M1,M2	{267.1220 863.5450} {267.1820 863.6550}	n135491						error
513	Needs fat contact	M1,M2	{269.5540 863.5450} {269.6140 863.6550}	ZBUF_1069_2803						error
514	Diff net spacing	M1	{303.7040 864.8630} {303.8640 864.9460}	ZBUF_764_2987						error
515	Off-grid	M1	{495.7050 863.5700} {495.8150 863.6300}	n23615						error
516	Off-grid	M1	{498.4410 863.5700} {498.5510 863.6300}	n23651						error
517	Off-grid	M1	{588.5770 861.7460} {588.6870 861.8060}	n23919						error
518	Off-grid	M1	{641.3210 870.4100} {641.4310 870.4700}	n66633						error
519	Off-grid	M1	{640.4090 870.2580} {640.5190 870.3180}	n66634						error
520	Off-grid	M1	{640.5610 870.1060} {640.6710 870.1660}	n66635						error
521	Off-grid	M1	{640.5910 870.1060} {640.7670 870.1560}	n66635						error
522	Diff net spacing	M1	{74.7920 880.4940} {74.9520 880.5770}	n74568						error
523	Diff net spacing	M1	{91.0560 874.8950} {91.2160 874.9780}	n74727						error
524	Diff net spacing	M1	{98.5040 880.4940} {98.6640 880.5770}	ZBUF_156_1612						error
525	Diff net spacing	M1	{122.6720 883.8380} {122.8320 883.9210}	n131492						error
526	Needs fat contact	M1,M2	{135.7940 881.7850} {135.8540 881.8950}	n136463						error
527	Diff net spacing	M1	{161.4320 878.2390} {161.5920 878.3220}	n132864						error
528	Short	M2	{160.5160 876.5880} {160.6840 876.7560}	n137572,n142779						error
529	Diff net spacing	M1	{171.3120 877.1500} {171.4720 877.2330}	n132920						error
530	Diff net spacing	M1	{171.7680 878.2390} {171.9280 878.3220}	n132920						error
531	Diff net spacing	M1	{177.2400 878.2390} {177.4000 878.3220}	ZBUF_77_3116						error
532	Off-grid	M2	{239.6080 874.8690} {239.6680 875.1310}	n59001						error
533	Off-grid	VIA1	{239.6130 874.8990} {239.6630 875.1010}	n59001						error
534	Short	M2	{238.9480 879.9320} {239.1160 880.1000}	n59048,n59160						error
535	Needs fat contact	M1,M2	{256.9380 876.9210} {256.9980 877.0310}	n22924						error
536	Diff net spacing	M1	{347.4800 878.2390} {347.6400 878.3220}	n61271						error
537	Off-grid	M1	{448.3060 876.7690} {448.3660 876.8790}	n75062						error
538	Off-grid	M1	{451.7770 877.0980} {451.8870 877.1580}	n75062						error
539	Off-grid	M1	{448.3160 876.6470} {448.3660 876.8490}	n75062						error
540	Off-grid	M1	{452.2330 876.9460} {452.3430 877.0060}	n75063						error
541	Needs fat contact	M1,M2	{54.0180 895.1610} {54.0780 895.2710}	n24462						error
542	Needs fat contact	M1,M2	{78.7940 891.8170} {78.8540 891.9270}	n138249						error
543	Diff net spacing	M1	{100.6320 887.1820} {100.7920 887.2650}	n74401						error
544	Needs fat contact	M1,M2	{112.2340 893.6410} {112.2940 893.7510}	ZBUF_997_1018						error
545	Needs fat contact	M1,M2	{146.4340 890.2970} {146.4940 890.4070}	n136591						error
546	Needs fat contact	M1,M2	{145.2180 885.1290} {145.2780 885.2390}	ZBUF_997_1018						error
547	Less than minimum area	M2	{145.2180 885.1290} {145.2780 885.2390}	ZBUF_997_1018						error
548	Needs fat contact	M1,M2	{146.4340 885.1290} {146.4940 885.2390}	ZBUF_111_2985						error
549	Diff net spacing	M1	{166.7520 884.9270} {166.9120 885.0100}	n136857						error
550	Diff net spacing	M1	{250.3520 894.9590} {250.5120 895.0420}	n65361						error
551	Needs fat contact	M1,M2	{287.1860 893.6410} {287.2460 893.7510}	n132780						error
552	Needs fat contact	M1,M2	{279.2820 890.2970} {279.3420 890.4070}	ZBUF_163_115						error
553	Needs fat contact	M1,M2	{296.7620 888.4730} {296.8220 888.5830}	n80716						error
554	Off-grid	M1	{574.1370 885.1540} {574.2470 885.2140}	n23895						error
555	Off-grid	M2	{60.9580 907.1180} {61.0680 907.3300}	n24459						error
556	Off-grid	VIA1	{60.9880 907.1230} {61.0380 907.3250}	n24459						error
557	Off-grid	M2	{76.0060 898.3020} {76.1160 898.5140}	n74438						error
558	Off-grid	VIA1	{76.0360 898.3070} {76.0860 898.5090}	n74438						error
559	Needs fat contact	M1,M2	{87.1540 907.0170} {87.2140 907.1270}	HFSNET_1147						error
560	Diff net spacing	M1	{123.8880 901.6470} {124.0480 901.7300}	n44714						error
561	Off-grid	M2	{157.4780 900.4300} {157.5880 900.6420}	n44025						error
562	Off-grid	VIA1	{157.5080 900.4350} {157.5580 900.6370}	n44025						error
563	Diff net spacing	M1	{162.0400 903.9020} {162.2000 903.9850}	n136709						error
564	Diff net spacing	M1	{174.0480 903.9020} {174.2080 903.9850}	n43803						error
565	Diff net spacing	M1	{207.0320 904.9910} {207.1920 905.0740}	ZBUF_187_1016						error
566	Needs fat contact	M1,M2	{251.3140 908.5370} {251.3740 908.6470}	ZBUF_14405_2370						error
567	Diff net spacing	M1	{262.9680 900.5580} {263.1280 900.6410}	n133764						error
568	Needs fat contact	M1,M2	{259.2180 900.3290} {259.2780 900.4390}	ZBUF_532_3513						error
569	Diff net spacing	M1	{306.8960 904.9910} {307.0560 905.0740}	n132684						error
570	Diff net spacing	M1	{312.2160 908.3350} {312.3760 908.4180}	ZBUF_14725_1598						error
571	Diff net spacing	M1	{329.5440 908.3350} {329.7040 908.4180}	n61655						error
572	Off-grid	M1	{532.1850 903.6980} {532.2950 903.7580}	n75478						error
573	Off-grid	M1	{535.0730 907.0420} {535.1830 907.1020}	n131186						error
574	Off-grid	M1	{582.9530 905.2180} {583.0630 905.2780}	n73293						error
575	Off-grid	M1	{661.2330 903.6980} {661.3430 903.7580}	n66407						error
576	Needs fat contact	M1,M2	{21.4900 918.5690} {21.5500 918.6790}	n25119						error
577	Diff net spacing	M1	{46.0640 910.5900} {46.2240 910.6730}	n24551						error
578	Off-grid	M2	{50.1660 918.3660} {50.2760 918.5780}	n52800						error
579	Off-grid	VIA1	{50.1960 918.3710} {50.2460 918.5730}	n52800						error
580	Off-grid	M2	{109.9520 917.1250} {110.0120 917.3870}	n43996						error
581	Off-grid	VIA1	{109.9570 917.1550} {110.0070 917.3570}	n43996						error
582	Diff net spacing	M1	{158.5440 911.6790} {158.7040 911.7620}	n142779						error
583	Diff net spacing	M1	{371.1920 911.6790} {371.3520 911.7620}	n46807						error
584	Diff net spacing	M1	{378.0320 915.0230} {378.1920 915.1060}	n46946						error
